location,size,total_sqft,bath,price,bhk,price_per_sqft
Electronic City Phase II,2 BHK,1056,2,39.07,2,3699.810606
Chikka Tirupathi,4 Bedroom,2600,5,120,4,4615.384615
Uttarahalli,3 BHK,1440,2,62,3,4305.555556
Lingadheeranahalli,3 BHK,1521,3,95,3,6245.890861
Kothanur,2 BHK,1200,2,51,2,4250
Whitefield,2 BHK,1170,2,38,2,3247.863248
Old Airport Road,4 BHK,2732,4,204,4,7467.057101
Rajaji Nagar,4 BHK,3300,4,600,4,18181.81818
Marathahalli,3 BHK,1310,3,63.25,3,4828.244275
Gandhi Bazar,6 Bedroom,1020,6,370,6,36274.5098
Whitefield,3 BHK,1800,2,70,3,3888.888889
Whitefield,4 Bedroom,2785,5,295,4,10592.45961
7th Phase JP Nagar,2 BHK,1000,2,38,2,3800
Gottigere,2 BHK,1100,2,40,2,3636.363636
Sarjapur,3 Bedroom,2250,3,148,3,6577.777778
Mysore Road,2 BHK,1175,2,73.5,2,6255.319149
Bisuvanahalli,3 BHK,1180,3,48,3,4067.79661
Raja Rajeshwari Nagar,3 BHK,1540,3,60,3,3896.103896
Ramakrishnappa Layout,3 BHK,2770,4,290,3,10469.31408
Manayata Tech Park,2 BHK,1100,2,48,2,4363.636364
Kengeri,1 BHK,600,1,15,1,2500
Binny Pete,3 BHK,1755,3,122,3,6951.566952
Thanisandra,4 Bedroom,2800,5,380,4,13571.42857
Bellandur,3 BHK,1767,3,103,3,5829.088851
 Thanisandra,1 RK,510,1,25.25,1,4950.980392
Mangammanapalya,3 BHK,1250,3,56,3,4480
Electronic City,2 BHK,660,1,23.1,2,3500
Whitefield,3 BHK,1610,3,81,3,5031.055901
Ramagondanahalli,2 BHK,1151,2,48.77,2,4237.185056
Electronic City,3 BHK,1025,2,47,3,4585.365854
Yelahanka,4 BHK,2475,4,186,4,7515.151515
Bisuvanahalli,3 BHK,1075,2,35,3,3255.813953
Hebbal,3 BHK,1760,2,123,3,6988.636364
Raja Rajeshwari Nagar,3 BHK,1693,3,57.39,3,3389.84052
Kasturi Nagar,3 BHK,1925,3,125,3,6493.506494
